 name:     cobalt                                                 Feff 8.10
 formula:  Co
 sites:    Co1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, hexagonal close packed (hcp)
 Abs   Z=27 Rmt= 1.331 Rnm= 1.367 K  shell
 Pot 1 Z=27 Rmt= 1.340 Rnm= 1.378
 Gam_ch=1.436E+00 H-L exch
 Mu=-5.188E+00 kf=2.078E+00 Vint=-2.163E+01 Rs_int= 1.746
 S02   .949                                        Global sig2   .00000
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    7744.155     23.625   2.750  9.27031E-01  9.80376E-01 -5.44645E-02
    7745.213     24.682   2.800  9.48213E-01  9.82999E-01 -3.54456E-02
    7746.289     25.758   2.850  9.69873E-01  9.84385E-01 -1.47646E-02
    7747.384     26.854   2.900  9.94788E-01  9.85771E-01  9.15917E-03
    7748.499     27.968   2.950  1.02097E+00  9.87158E-01  3.42978E-02
    7749.632     29.102   3.000  1.04632E+00  9.88544E-01  5.85073E-02
    7750.785     30.254   3.050  1.06900E+00  9.89547E-01  8.03521E-02
    7751.956     31.426   3.100  1.08809E+00  9.90550E-01  9.84986E-02
    7753.147     32.616   3.150  1.10174E+00  9.91552E-01  1.11124E-01
    7754.357     33.826   3.200  1.10864E+00  9.92555E-01  1.16907E-01
    7755.585     35.055   3.250  1.10887E+00  9.92693E-01  1.16877E-01
    7756.833     36.303   3.300  1.10162E+00  9.92830E-01  1.09329E-01
    7758.100     37.569   3.350  1.08727E+00  9.92968E-01  9.46683E-02
    7759.386     38.855   3.400  1.06689E+00  9.93105E-01  7.39921E-02
    7760.691     40.160   3.450  1.04210E+00  9.93337E-01  4.88714E-02
    7762.015     41.484   3.500  1.01412E+00  9.93568E-01  2.05811E-02
    7763.358     42.827   3.550  9.85105E-01  9.93800E-01 -8.70290E-03
    7764.720     44.189   3.600  9.57077E-01  9.94031E-01 -3.69659E-02
    7766.101     45.570   3.650  9.30504E-01  9.93831E-01 -6.33016E-02
    7767.501     46.970   3.700  9.08331E-01  9.93630E-01 -8.52065E-02
    7768.920     48.390   3.750  8.91486E-01  9.93429E-01 -1.01762E-01
