 name:     cobalt                                                 Feff 8.10
 formula:  Co
 sites:    Co1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, hexagonal close packed (hcp)
 Abs   Z=27 Rmt= 1.331 Rnm= 1.367 K  shell
 Pot 1 Z=27 Rmt= 1.340 Rnm= 1.378
 Gam_ch=1.436E+00 H-L exch
 Mu=-5.188E+00 kf=2.078E+00 Vint=-2.163E+01 Rs_int= 1.746
 Path   22      icalc       2
 -----------------------------------------------------------------------
   4  12.000   4.9965    2.6038   -5.18819 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
      .0000     .0000     .0000  0  27 Co       absorbing atom
    -1.4491     .0000    2.0350  1  27 Co    
      .0000     .0000     .0000  0  27 Co    
      .7246    1.2550   -2.0350  1  27 Co    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
   .000  3.1181E+00  0.0000E+00 -2.8853E+00  1.007E+00  2.2050E+01  2.0780E+00
   .100  3.1177E+00  4.2387E-03 -3.8654E+00  1.007E+00  2.2074E+01  2.0803E+00
   .200  3.1167E+00  8.3584E-03 -4.8074E+00  1.007E+00  2.2145E+01  2.0872E+00
   .300  3.1149E+00  1.2251E-02 -5.7115E+00  1.007E+00  2.2255E+01  2.0986E+00
   .400  3.1124E+00  1.5830E-02 -6.5781E+00  1.007E+00  2.2394E+01  2.1146E+00
   .500  3.1090E+00  1.9031E-02 -7.4081E+00  1.008E+00  2.2547E+01  2.1349E+00
   .600  3.1047E+00  2.1817E-02 -8.2019E+00  1.008E+00  2.2695E+01  2.1595E+00
   .700  3.0995E+00  2.4170E-02 -8.9601E+00  1.008E+00  2.2817E+01  2.1882E+00
   .800  3.0932E+00  2.6090E-02 -9.6834E+00  1.009E+00  2.2893E+01  2.2209E+00
   .900  3.0857E+00  2.7584E-02 -1.0372E+01  1.010E+00  2.2899E+01  2.2575E+00
  1.000  3.0769E+00  2.8663E-02 -1.1026E+01  1.011E+00  2.2817E+01  2.2979E+00
  1.100  3.0666E+00  2.9342E-02 -1.1647E+01  1.012E+00  2.2633E+01  2.3419E+00
  1.200  3.0547E+00  2.9631E-02 -1.2233E+01  1.014E+00  2.2340E+01  2.3894E+00
  1.300  3.0409E+00  2.9540E-02 -1.2784E+01  1.016E+00  2.1937E+01  2.4403E+00
  1.400  3.0249E+00  2.9079E-02 -1.3301E+01  1.018E+00  2.1431E+01  2.4945E+00
