 name:     cobalt                                                 Feff 8.10
 formula:  Co
 sites:    Co1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, hexagonal close packed (hcp)
 Abs   Z=27 Rmt= 1.331 Rnm= 1.367 K  shell
 Pot 1 Z=27 Rmt= 1.340 Rnm= 1.378
 Gam_ch=1.436E+00 H-L exch
 Mu=-5.188E+00 kf=2.078E+00 Vint=-2.163E+01 Rs_int= 1.746
 S02   .949                                        Global sig2   .00000
 Curved wave amplitude ratio filter   4.000%
     3.6000   -3.696587E-02  1.332223E-01  9.705943E+00
     3.6500   -6.330160E-02  1.322119E-01  9.924053E+00
     3.7000   -8.520648E-02  1.304461E-01  1.013657E+01
     3.7500   -1.017624E-01  1.281387E-01  1.034240E+01
     3.8000   -1.127752E-01  1.255287E-01  1.054089E+01
     3.8500   -1.183922E-01  1.223296E-01  1.074117E+01
     3.9000   -1.186558E-01  1.188896E-01  1.093284E+01
     3.9500   -1.146490E-01  1.154741E-01  1.111518E+01
     4.0000   -1.075814E-01  1.123540E-01  1.128809E+01
     4.0500   -9.724487E-02  1.086783E-01  1.145840E+01
     4.1000   -8.573505E-02  1.055775E-01  1.161870E+01
     4.1500   -7.383589E-02  1.032972E-01  1.177005E+01
     4.2000   -6.190460E-02  1.020412E-01  1.191451E+01
     4.2500   -4.931528E-02  1.011242E-01  1.205695E+01
     4.3000   -3.665963E-02  1.014575E-01  1.219668E+01
     4.3500   -2.339511E-02  1.030690E-01  1.233739E+01
     4.4000   -8.871385E-03  1.058921E-01  1.248249E+01
     4.4500    7.353827E-03  1.093198E-01  1.263369E+01
     4.5000    2.554818E-02  1.137310E-01  1.279294E+01
     4.5500    4.574401E-02  1.189121E-01  1.296124E+01
     4.6000    6.750145E-02  1.246359E-01  1.313870E+01
     4.6500    8.964860E-02  1.302672E-01  1.332536E+01
     4.7000    1.109906E-01  1.360819E-01  1.352016E+01
     4.7500    1.298411E-01  1.418800E-01  1.372224E+01
