 name:     cobalt                                                 Feff 8.10
 formula:  Co
 sites:    Co1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, hexagonal close packed (hcp)
 Abs   Z=27 Rmt= 1.331 Rnm= 1.367 K  shell
 Pot 1 Z=27 Rmt= 1.340 Rnm= 1.378
 Gam_ch=1.436E+00 H-L exch
 Mu=-5.188E+00 kf=2.078E+00 Vint=-2.163E+01 Rs_int= 1.746
 Path    5      icalc       2
 -----------------------------------------------------------------------
   3  24.000   3.7533    2.6038   -5.18819 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
      .0000     .0000     .0000  0  27 Co       absorbing atom
     2.1737   -1.2550     .0000  1  27 Co    
      .7246   -1.2550   -2.0350  1  27 Co    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
   .000  3.1181E+00  0.0000E+00 -5.8489E+00  1.007E+00  2.2050E+01  2.0780E+00
   .100  3.1177E+00  4.0980E-03 -6.5824E+00  1.007E+00  2.2074E+01  2.0803E+00
   .200  3.1167E+00  7.9988E-03 -7.2819E+00  1.007E+00  2.2145E+01  2.0872E+00
   .300  3.1149E+00  1.1532E-02 -7.9473E+00  1.007E+00  2.2255E+01  2.0986E+00
   .400  3.1124E+00  1.4572E-02 -8.5788E+00  1.007E+00  2.2394E+01  2.1146E+00
   .500  3.1090E+00  1.7054E-02 -9.1764E+00  1.008E+00  2.2547E+01  2.1349E+00
   .600  3.1047E+00  1.8969E-02 -9.7403E+00  1.008E+00  2.2695E+01  2.1595E+00
   .700  3.0995E+00  2.0359E-02 -1.0270E+01  1.008E+00  2.2817E+01  2.1882E+00
   .800  3.0932E+00  2.1303E-02 -1.0766E+01  1.009E+00  2.2893E+01  2.2209E+00
   .900  3.0857E+00  2.1908E-02 -1.1229E+01  1.010E+00  2.2899E+01  2.2575E+00
  1.000  3.0769E+00  2.2294E-02 -1.1658E+01  1.011E+00  2.2817E+01  2.2979E+00
  1.100  3.0666E+00  2.2589E-02 -1.2055E+01  1.012E+00  2.2633E+01  2.3419E+00
  1.200  3.0547E+00  2.2912E-02 -1.2423E+01  1.014E+00  2.2340E+01  2.3894E+00
  1.300  3.0409E+00  2.3370E-02 -1.2764E+01  1.016E+00  2.1937E+01  2.4403E+00
  1.400  3.0249E+00  2.4045E-02 -1.3083E+01  1.018E+00  2.1431E+01  2.4945E+00
