 name:     cobalt                                                 Feff 8.10
 formula:  Co
 sites:    Co1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, hexagonal close packed (hcp)
 Abs   Z=27 Rmt= 1.331 Rnm= 1.367 K  shell
 Pot 1 Z=27 Rmt= 1.340 Rnm= 1.378
 Gam_ch=1.436E+00 H-L exch
 Mu=-5.188E+00 kf=2.078E+00 Vint=-2.163E+01 Rs_int= 1.746
 Path   24      icalc       2
 -----------------------------------------------------------------------
   4  12.000   4.9965    2.6038   -5.18819 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
      .0000     .0000     .0000  0  27 Co       absorbing atom
      .7246    1.2550    2.0350  1  27 Co    
      .0000    2.5100    4.0700  1  27 Co    
      .7246    1.2550    2.0350  1  27 Co    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
   .000  3.1181E+00  0.0000E+00 -5.2861E-01  1.007E+00  2.2050E+01  2.0780E+00
   .100  3.1177E+00  5.0025E-03 -1.5056E+00  1.007E+00  2.2074E+01  2.0803E+00
   .200  3.1167E+00  9.9289E-03 -2.4384E+00  1.007E+00  2.2145E+01  2.0872E+00
   .300  3.1149E+00  1.4709E-02 -3.3280E+00  1.007E+00  2.2255E+01  2.0986E+00
   .400  3.1124E+00  1.9280E-02 -4.1760E+00  1.007E+00  2.2394E+01  2.1146E+00
   .500  3.1090E+00  2.3595E-02 -4.9842E+00  1.008E+00  2.2547E+01  2.1349E+00
   .600  3.1047E+00  2.7617E-02 -5.7547E+00  1.008E+00  2.2695E+01  2.1595E+00
   .700  3.0995E+00  3.1319E-02 -6.4892E+00  1.008E+00  2.2817E+01  2.1882E+00
   .800  3.0932E+00  3.4682E-02 -7.1896E+00  1.009E+00  2.2893E+01  2.2209E+00
   .900  3.0857E+00  3.7695E-02 -7.8573E+00  1.010E+00  2.2899E+01  2.2575E+00
  1.000  3.0769E+00  4.0345E-02 -8.4934E+00  1.011E+00  2.2817E+01  2.2979E+00
  1.100  3.0666E+00  4.2620E-02 -9.0988E+00  1.012E+00  2.2633E+01  2.3419E+00
  1.200  3.0547E+00  4.4505E-02 -9.6743E+00  1.014E+00  2.2340E+01  2.3894E+00
  1.300  3.0409E+00  4.5978E-02 -1.0220E+01  1.016E+00  2.1937E+01  2.4403E+00
  1.400  3.0249E+00  4.7013E-02 -1.0737E+01  1.018E+00  2.1431E+01  2.4945E+00
