PATH  Rmax= 5.468,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2   8.000  index, nleg, degeneracy, r=  2.4855
    17    3  48.000  index, nleg, degeneracy, r=  5.0574
      x           y           z     ipot  label      rleg      beta        eta
   -1.435000   -1.435000    4.305000   1 'Fe    '     4.7594  150.5038    0.0000
    0.000000    0.000000    2.870000   1 'Fe    '     2.4855   54.7356    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.8700  154.7606    0.0000
    18    4  48.000  index, nleg, degeneracy, r=  5.3555
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    0.000000    2.870000   1 'Fe    '     2.8700  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.8700   54.7356    0.0000
   -1.435000   -1.435000   -1.435000   1 'Fe    '     2.4855  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4855   54.7356    0.0000
    19    4  48.000  index, nleg, degeneracy, r=  5.3555
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    2.870000    0.000000   1 'Fe    '     2.8700  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.8700  125.2644    0.0000
    1.435000    1.435000    1.435000   1 'Fe    '     2.4855  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.4855  125.2644    0.0000
