# name:     iron                                                 Feff 8.20   
# formula:  Fe
# sites:    Fe1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, bcc
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.347 Rnm= 1.395 K  shell
# Pot 1 Z=26 Rmt= 1.358 Rnm= 1.408
# Gam_ch=1.309E+00 H-L exch Vi= 2.000E+00 Vr= 0.000E+00
# Mu=-5.451E+00 kf=2.045E+00 Vint=-2.138E+01 Rs_int= 1.773
# PATH  Rmax= 5.468,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.944                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.4855
#           2       0.00000     51.86      6.00     2   2.8700
#           3       0.00000     13.22     48.00     3   3.9205
#           4       0.00000     39.56     12.00     2   4.0588
#           5       0.00000      4.94     24.00     3   4.5149
#           6       0.00000     12.37     48.00     3   4.5149
#           7       0.00000     48.97     24.00     2   4.7594
#           8       0.00000      6.29     48.00     3   4.8994
#           9       0.00000     14.25      8.00     2   4.9710
#          10       0.00000      6.67      8.00     3   4.9710
#          11       0.00000     45.94     16.00     3   4.9710
#          12       0.00000      9.75      8.00     4   4.9710
#          14       0.00000     41.22      8.00     4   4.9710
#          15       0.00000     11.17     48.00     3   5.0574
#          16       0.00000     12.24     48.00     3   5.0574
#          17       0.00000     12.37     48.00     3   5.0574
#    16/  18 paths used
#  xsedge+50, used to normalize mu           3.2002E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7665.974    543.187  12.000  8.56765E-01  8.55962E-01  9.39790E-04
    7670.556    547.768  12.050  8.66066E-01  8.54639E-01  1.33802E-02
    7675.156    552.369  12.100  8.74011E-01  8.53316E-01  2.42680E-02
    7679.776    556.989  12.150  8.79020E-01  8.51993E-01  3.17418E-02
    7684.415    561.627  12.200  8.80055E-01  8.50671E-01  3.45645E-02
    7689.072    566.285  12.250  8.76808E-01  8.49348E-01  3.23516E-02
    7693.749    570.962  12.300  8.69746E-01  8.48025E-01  2.56298E-02
    7698.445    575.658  12.350  8.60005E-01  8.46703E-01  1.57207E-02
    7703.160    580.372  12.400  8.49158E-01  8.45380E-01  4.47239E-03
    7707.894    585.106  12.450  8.38910E-01  8.44057E-01 -6.10222E-03
    7712.647    589.859  12.500  8.30767E-01  8.42734E-01 -1.42096E-02
    7717.419    594.631  12.550  8.25765E-01  8.41412E-01 -1.86064E-02
    7722.210    599.422  12.600  8.24293E-01  8.40089E-01 -1.88138E-02
    7727.020    604.232  12.650  8.26043E-01  8.38766E-01 -1.51779E-02
    7731.849    609.062  12.700  8.30104E-01  8.37444E-01 -8.76887E-03
    7736.697    613.910  12.750  8.35165E-01  8.36121E-01 -1.14358E-03
    7741.564    618.777  12.800  8.39785E-01  8.34798E-01  5.97647E-03
    7746.451    623.663  12.850  8.42678E-01  8.33476E-01  1.10472E-02
    7751.356    628.569  12.900  8.42962E-01  8.32153E-01  1.29959E-02
    7756.280    633.493  12.950  8.40307E-01  8.30830E-01  1.14125E-02
    7761.224    638.437  13.000  8.34983E-01  8.29507E-01  6.60426E-03
    7766.186    643.399  13.050  8.28323E-01  8.28749E-01 -5.14397E-04
    7771.168    648.381  13.100  8.20909E-01  8.27990E-01 -8.57045E-03
    7776.169    653.381  13.150  8.13999E-01  8.27231E-01 -1.60418E-02
    7781.188    658.401  13.200  8.08733E-01  8.26473E-01 -2.15434E-02
    7786.227    663.440  13.250  8.05921E-01  8.25714E-01 -2.40788E-02
    7791.285    668.497  13.300  8.05914E-01  8.24955E-01 -2.32039E-02
    7796.361    673.574  13.350  8.08568E-01  8.24196E-01 -1.90780E-02
    7801.457    678.670  13.400  8.13299E-01  8.23438E-01 -1.23985E-02
    7806.572    683.785  13.450  8.19217E-01  8.22679E-01 -4.24044E-03
    7811.706    688.919  13.500  8.25311E-01  8.21920E-01  4.16079E-03
    7816.859    694.072  13.550  8.30630E-01  8.21162E-01  1.16383E-02
    7822.031    699.244  13.600  8.34443E-01  8.20403E-01  1.72883E-02
    7827.222    704.435  13.650  8.36342E-01  8.19644E-01  2.05960E-02
    7832.432    709.645  13.700  8.36266E-01  8.18886E-01  2.14753E-02
    7837.662    714.874  13.750  8.34465E-01  8.18127E-01  2.02231E-02
    7842.910    720.123  13.800  8.31406E-01  8.17368E-01  1.74064E-02
    7848.177    725.390  13.850  8.27649E-01  8.16609E-01  1.37126E-02
    7853.464    730.676  13.900  8.23725E-01  8.15851E-01  9.79806E-03
    7858.769    735.982  13.950  8.20039E-01  8.15092E-01  6.16686E-03
    7864.093    741.306  14.000  8.16817E-01  8.14333E-01  3.10148E-03
    7869.437    746.650  14.050  8.13967E-01  8.13452E-01  6.43873E-04
    7874.799    752.012  14.100  8.11485E-01  8.12571E-01 -1.36084E-03
    7880.181    757.394  14.150  8.09189E-01  8.11690E-01 -3.14033E-03
    7885.582    762.794  14.200  8.06902E-01  8.10809E-01 -4.91475E-03
    7891.001    768.214  14.250  8.04522E-01  8.09928E-01 -6.81273E-03
    7896.440    773.653  14.300  8.02059E-01  8.09047E-01 -8.82257E-03
    7901.898    779.111  14.350  7.99636E-01  8.08166E-01 -1.07886E-02
    7907.375    784.588  14.400  7.97460E-01  8.07284E-01 -1.24504E-02
    7912.871    790.083  14.450  7.95760E-01  8.06403E-01 -1.35123E-02
    7918.386    795.598  14.500  7.94733E-01  8.05522E-01 -1.37227E-02
    7923.920    801.132  14.550  7.94484E-01  8.04641E-01 -1.29435E-02
    7929.473    806.685  14.600  7.94995E-01  8.03760E-01 -1.11898E-02
    7935.045    812.258  14.650  7.96130E-01  8.02879E-01 -8.63235E-03
    7940.636    817.849  14.700  7.97658E-01  8.01998E-01 -5.56184E-03
    7946.246    823.459  14.750  7.99305E-01  8.01117E-01 -2.32558E-03
    7951.875    829.088  14.800  8.00816E-01  8.00236E-01  7.46882E-04
    7957.524    834.736  14.850  8.02001E-01  7.99355E-01  3.41006E-03
    7963.191    840.404  14.900  8.02767E-01  7.98473E-01  5.54416E-03
    7968.878    846.090  14.950  8.03129E-01  7.97592E-01  7.16213E-03
    7974.583    851.796  15.000  8.03178E-01  7.96711E-01  8.38121E-03
    7980.307    857.520  15.050  8.02447E-01  7.95227E-01  9.37558E-03
    7986.051    863.264  15.100  8.01649E-01  7.93743E-01  1.02859E-02
    7991.814    869.026  15.150  8.00845E-01  7.92259E-01  1.11914E-02
    7997.595    874.808  15.200  8.00001E-01  7.90775E-01  1.20494E-02
    8003.396    880.609  15.250  7.98985E-01  7.89291E-01  1.26853E-02
    8009.216    886.428  15.300  7.97588E-01  7.87807E-01  1.28230E-02
    8015.055    892.267  15.350  7.95572E-01  7.86323E-01  1.21493E-02
    8020.912    898.125  15.400  7.92739E-01  7.84839E-01  1.03982E-02
    8026.789    904.002  15.450  7.88994E-01  7.83355E-01  7.43624E-03
    8032.685    909.898  15.500  7.84387E-01  7.81871E-01  3.32525E-03
    8038.600    915.813  15.550  7.79139E-01  7.80387E-01 -1.65181E-03
    8044.534    921.747  15.600  7.73616E-01  7.78903E-01 -7.01281E-03
    8050.487    927.700  15.650  7.68281E-01  7.77419E-01 -1.21435E-02
    8056.460    933.672  15.700  7.63620E-01  7.75935E-01 -1.63980E-02
    8062.451    939.663  15.750  7.60051E-01  7.74450E-01 -1.92122E-02
    8068.461    945.674  15.800  7.57851E-01  7.72966E-01 -2.02071E-02
    8074.490    951.703  15.850  7.57105E-01  7.71482E-01 -1.92592E-02
    8080.539    957.751  15.900  7.57687E-01  7.69998E-01 -1.65240E-02
    8086.606    963.819  15.950  7.59289E-01  7.68514E-01 -1.24064E-02
    8092.692    969.905  16.000  7.61476E-01  7.67030E-01 -7.48459E-03
    8098.798    976.011  16.050  7.62293E-01  7.64080E-01 -2.41220E-03
    8104.923    982.135  16.100  7.62802E-01  7.61129E-01  2.26360E-03
    8111.066    988.279  16.150  7.62668E-01  7.58179E-01  6.08755E-03
    8117.229    994.441  16.200  7.61706E-01  7.55228E-01  8.80161E-03
    8123.410   1000.623  16.250  7.59890E-01  7.52277E-01  1.03646E-02
    8129.611   1006.824  16.300  7.57336E-01  7.49327E-01  1.09267E-02
    8135.831   1013.044  16.350  7.54251E-01  7.46376E-01  1.07663E-02
    8142.070   1019.283  16.400  7.50875E-01  7.43426E-01  1.02060E-02
    8148.328   1025.540  16.450  7.47415E-01  7.40475E-01  9.52801E-03
    8154.605   1031.817  16.500  7.43999E-01  7.37525E-01  8.90754E-03
    8160.901   1038.113  16.550  7.40652E-01  7.34574E-01  8.37997E-03
    8167.216   1044.428  16.600  7.37303E-01  7.31624E-01  7.84721E-03
    8173.550   1050.763  16.650  7.33816E-01  7.28673E-01  7.12042E-03
    8179.903   1057.116  16.700  7.30037E-01  7.25722E-01  5.98693E-03
    8186.275   1063.488  16.750  7.25853E-01  7.22772E-01  4.28410E-03
    8192.666   1069.879  16.800  7.21229E-01  7.19821E-01  1.96136E-03
    8199.077   1076.289  16.850  7.16237E-01  7.16871E-01 -8.85472E-04
    8205.506   1082.719  16.900  7.11050E-01  7.13920E-01 -4.01624E-03
    8211.955   1089.167  16.950  7.05917E-01  7.10970E-01 -7.08500E-03
    8218.422   1095.635  17.000  7.01112E-01  7.08019E-01 -9.70617E-03
    8224.908   1102.121  17.050  6.96888E-01  7.05082E-01 -1.15392E-02
    8231.414   1108.627  17.100  6.93403E-01  7.02145E-01 -1.23359E-02
    8237.939   1115.151  17.150  6.90705E-01  6.99208E-01 -1.20245E-02
    8244.482   1121.695  17.200  6.88715E-01  6.96270E-01 -1.07067E-02
    8251.045   1128.258  17.250  6.87254E-01  6.93333E-01 -8.63301E-03
    8257.627   1134.839  17.300  6.86079E-01  6.90396E-01 -6.14460E-03
    8264.227   1141.440  17.350  6.84936E-01  6.87459E-01 -3.59841E-03
    8270.847   1148.060  17.400  6.83618E-01  6.84522E-01 -1.29197E-03
    8277.486   1154.699  17.450  6.81999E-01  6.81585E-01  5.93524E-04
    8284.144   1161.357  17.500  6.80054E-01  6.78647E-01  2.01885E-03
    8290.821   1168.034  17.550  6.77848E-01  6.75710E-01  3.07525E-03
    8297.517   1174.730  17.600  6.75506E-01  6.72773E-01  3.93944E-03
    8304.232   1181.445  17.650  6.73163E-01  6.69836E-01  4.80671E-03
    8310.966   1188.179  17.700  6.70919E-01  6.66899E-01  5.81973E-03
    8317.720   1194.932  17.750  6.68794E-01  6.63962E-01  7.01147E-03
    8324.492   1201.705  17.800  6.66718E-01  6.61024E-01  8.27790E-03
    8331.283   1208.496  17.850  6.64530E-01  6.58087E-01  9.38868E-03
    8338.094   1215.306  17.900  6.62022E-01  6.55150E-01  1.00352E-02
    8344.923   1222.136  17.950  6.58981E-01  6.52213E-01  9.90571E-03
    8351.771   1228.984  18.000  6.55255E-01  6.49276E-01  8.76966E-03
    8358.639   1235.852  18.050  6.53430E-01  6.48968E-01  6.55991E-03
    8365.525   1242.738  18.100  6.50947E-01  6.48659E-01  3.37047E-03
    8372.431   1249.644  18.150  6.48031E-01  6.48351E-01 -4.73654E-04
    8379.356   1256.568  18.200  6.45014E-01  6.48043E-01 -4.48239E-03
    8386.299   1263.512  18.250  6.42284E-01  6.47735E-01 -8.08415E-03
    8393.262   1270.475  18.300  6.40206E-01  6.47427E-01 -1.07339E-02
    8400.244   1277.457  18.350  6.39049E-01  6.47119E-01 -1.20226E-02
    8407.245   1284.457  18.400  6.38932E-01  6.46811E-01 -1.17643E-02
    8414.265   1291.477  18.450  6.39793E-01  6.46503E-01 -1.00408E-02
    8421.304   1298.516  18.500  6.41400E-01  6.46195E-01 -7.19193E-03
    8428.362   1305.574  18.550  6.43390E-01  6.45886E-01 -3.75249E-03
    8435.439   1312.651  18.600  6.45347E-01  6.45578E-01 -3.47986E-04
    8442.535   1319.747  18.650  6.46879E-01  6.45270E-01  2.43019E-03
    8449.650   1326.863  18.700  6.47699E-01  6.44962E-01  4.14299E-03
    8456.784   1333.997  18.750  6.47680E-01  6.44654E-01  4.59050E-03
    8463.937   1341.150  18.800  6.46877E-01  6.44346E-01  3.84816E-03
    8471.110   1348.322  18.850  6.45510E-01  6.44038E-01  2.24446E-03
    8478.301   1355.514  18.900  6.43916E-01  6.43730E-01  2.84696E-04
    8485.511   1362.724  18.950  6.42466E-01  6.43421E-01 -1.46294E-03
    8492.741   1369.953  19.000  6.41488E-01  6.43113E-01 -2.49425E-03
    8499.989   1377.202  19.050  6.41849E-01  6.43469E-01 -2.49111E-03
    8507.257   1384.470  19.100  6.42948E-01  6.43825E-01 -1.35086E-03
    8514.543   1391.756  19.150  6.44659E-01  6.44180E-01  7.39955E-04
    8521.849   1399.062  19.200  6.46705E-01  6.44536E-01  3.36024E-03
    8529.174   1406.386  19.250  6.48721E-01  6.44891E-01  5.94526E-03
    8536.518   1413.730  19.300  6.50331E-01  6.45247E-01  7.90973E-03
    8543.880   1421.093  19.350  6.51230E-01  6.45602E-01  8.77619E-03
    8551.262   1428.475  19.400  6.51256E-01  6.45958E-01  8.28063E-03
    8558.663   1435.876  19.450  6.50419E-01  6.46314E-01  6.43212E-03
    8566.083   1443.296  19.500  6.48907E-01  6.46669E-01  3.51378E-03
    8573.522   1450.735  19.550  6.47040E-01  6.47025E-01  2.47899E-05
    8580.980   1458.193  19.600  6.45210E-01  6.47380E-01 -3.42344E-03
    8588.457   1465.670  19.650  6.43794E-01  6.47736E-01 -6.23426E-03
    8595.953   1473.166  19.700  6.43077E-01  6.48091E-01 -7.94812E-03
    8603.468   1480.681  19.750  6.43202E-01  6.48447E-01 -8.33383E-03
    8611.003   1488.215  19.800  6.44138E-01  6.48803E-01 -7.42934E-03
    8618.556   1495.769  19.850  6.45698E-01  6.49158E-01 -5.52426E-03
    8626.128   1503.341  19.900  6.47583E-01  6.49514E-01 -3.08879E-03
    8633.720   1510.932  19.950  6.49454E-01  6.49869E-01 -6.65966E-04
    8641.330   1518.543  20.000  6.51001E-01  6.50225E-01  1.24846E-03
