# name:     iron                                                 Feff 8.20   
# formula:  Fe
# sites:    Fe1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, bcc
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.347 Rnm= 1.395 K  shell
# Pot 1 Z=26 Rmt= 1.358 Rnm= 1.408
# Gam_ch=1.309E+00 H-L exch Vi= 2.000E+00 Vr= 0.000E+00
# Mu=-5.451E+00 kf=2.045E+00 Vint=-2.138E+01 Rs_int= 1.773
# PATH  Rmax= 5.468,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.944                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.4855
#           2       0.00000     51.86      6.00     2   2.8700
#           3       0.00000     13.22     48.00     3   3.9205
#           4       0.00000     39.56     12.00     2   4.0588
#           5       0.00000      4.94     24.00     3   4.5149
#           6       0.00000     12.37     48.00     3   4.5149
#           7       0.00000     48.97     24.00     2   4.7594
#           8       0.00000      6.29     48.00     3   4.8994
#           9       0.00000     14.25      8.00     2   4.9710
#          10       0.00000      6.67      8.00     3   4.9710
#          11       0.00000     45.94     16.00     3   4.9710
#          12       0.00000      9.75      8.00     4   4.9710
#          14       0.00000     41.22      8.00     4   4.9710
#          15       0.00000     11.17     48.00     3   5.0574
#          16       0.00000     12.24     48.00     3   5.0574
#          17       0.00000     12.37     48.00     3   5.0574
#    16/  18 paths used
#  xsedge+50, used to normalize mu           3.2002E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7151.626     28.839   3.000  9.97536E-01  9.64600E-01  3.33747E-02
    7152.779     29.992   3.050  9.94903E-01  9.66337E-01  2.89063E-02
    7153.950     31.163   3.100  9.92816E-01  9.68074E-01  2.50023E-02
    7155.141     32.354   3.150  9.91924E-01  9.69811E-01  2.23155E-02
    7156.351     33.563   3.200  9.92539E-01  9.71548E-01  2.11541E-02
    7157.580     34.792   3.250  9.93102E-01  9.72201E-01  2.10374E-02
    7158.827     36.040   3.300  9.94966E-01  9.72854E-01  2.22290E-02
    7160.094     37.307   3.350  9.97485E-01  9.73506E-01  2.40751E-02
    7161.380     38.593   3.400  9.99772E-01  9.74159E-01  2.56850E-02
    7162.685     39.898   3.450  1.00078E+00  9.74865E-01  2.59721E-02
    7164.009     41.222   3.500  9.99806E-01  9.75571E-01  2.42730E-02
    7165.352     42.565   3.550  9.96149E-01  9.76277E-01  1.98910E-02
    7166.714     43.927   3.600  9.89455E-01  9.76982E-01  1.24763E-02
    7168.095     45.308   3.650  9.79278E-01  9.77126E-01  2.15045E-03
    7169.495     46.708   3.700  9.66825E-01  9.77270E-01 -1.04321E-02
    7170.914     48.127   3.750  9.53071E-01  9.77414E-01 -2.42944E-02
    7172.353     49.565   3.800  9.39335E-01  9.77558E-01 -3.81178E-02
    7173.810     51.023   3.850  9.27525E-01  9.78029E-01 -5.03365E-02
    7175.286     52.499   3.900  9.18825E-01  9.78501E-01 -5.94434E-02
    7176.782     53.994   3.950  9.14470E-01  9.78973E-01 -6.42148E-02
    7178.296     55.509   4.000  9.15225E-01  9.79445E-01 -6.38957E-02
    7179.830     57.042   4.050  9.21383E-01  9.79805E-01 -5.80942E-02
    7181.382     58.595   4.100  9.32264E-01  9.80166E-01 -4.76059E-02
    7182.954     60.167   4.150  9.46561E-01  9.80526E-01 -3.37357E-02
    7184.545     61.757   4.200  9.62422E-01  9.80886E-01 -1.83290E-02
    7186.154     63.367   4.250  9.77947E-01  9.81265E-01 -3.29188E-03
    7187.783     64.996   4.300  9.90589E-01  9.81644E-01  8.87048E-03
    7189.431     66.644   4.350  9.98492E-01  9.82023E-01  1.63240E-02
    7191.098     68.310   4.400  1.00049E+00  9.82401E-01  1.79223E-02
    7192.784     69.996   4.450  9.96314E-01  9.82826E-01  1.33564E-02
    7194.489     71.701   4.500  9.86673E-01  9.83250E-01  3.38781E-03
    7196.213     73.425   4.550  9.73438E-01  9.83675E-01 -1.01286E-02
    7197.956     75.168   4.600  9.59273E-01  9.84099E-01 -2.45539E-02
    7199.718     76.931   4.650  9.47050E-01  9.84354E-01 -3.68874E-02
    7201.499     78.712   4.700  9.40213E-01  9.84609E-01 -4.38912E-02
    7203.299     80.512   4.750  9.41287E-01  9.84865E-01 -4.30725E-02
    7205.119     82.331   4.800  9.51732E-01  9.85120E-01 -3.29941E-02
    7206.957     84.170   4.850  9.71794E-01  9.85286E-01 -1.33327E-02
    7208.814     86.027   4.900  9.99930E-01  9.85453E-01  1.43077E-02
    7210.691     87.903   4.950  1.03315E+00  9.85619E-01  4.69703E-02
    7212.586     89.799   5.000  1.06736E+00  9.85786E-01  8.06225E-02
    7214.501     91.713   5.050  1.09787E+00  9.85780E-01  1.10795E-01
    7216.434     93.647   5.100  1.12002E+00  9.85775E-01  1.32721E-01
    7218.387     95.600   5.150  1.13016E+00  9.85770E-01  1.42770E-01
    7220.359     97.571   5.200  1.12610E+00  9.85764E-01  1.38784E-01
    7222.349     99.562   5.250  1.10684E+00  9.85535E-01  1.20031E-01
    7224.359    101.572   5.300  1.07466E+00  9.85305E-01  8.84541E-02
    7226.388    103.600   5.350  1.03312E+00  9.85076E-01  4.75824E-02
    7228.436    105.648   5.400  9.87075E-01  9.84846E-01  2.20883E-03
    7230.503    107.715   5.450  9.41520E-01  9.84418E-01 -4.25423E-02
    7232.589    109.801   5.500  9.02197E-01  9.83989E-01 -8.11727E-02
    7234.694    111.906   5.550  8.73185E-01  9.83561E-01 -1.09620E-01
    7236.818    114.030   5.600  8.56873E-01  9.83132E-01 -1.25487E-01
    7238.961    116.173   5.650  8.53654E-01  9.82483E-01 -1.28155E-01
    7241.123    118.336   5.700  8.62067E-01  9.81834E-01 -1.19246E-01
    7243.304    120.517   5.750  8.78925E-01  9.81186E-01 -1.01905E-01
    7245.504    122.717   5.800  9.00141E-01  9.80537E-01 -8.01873E-02
    7247.724    124.936   5.850  9.21465E-01  9.79763E-01 -5.82122E-02
    7249.962    127.175   5.900  9.39362E-01  9.78989E-01 -3.96136E-02
    7252.220    129.432   5.950  9.51635E-01  9.78215E-01 -2.66009E-02
    7254.496    131.709   6.000  9.57756E-01  9.77440E-01 -1.97225E-02
    7256.791    134.004   6.050  9.58815E-01  9.76502E-01 -1.77438E-02
    7259.106    136.319   6.100  9.57500E-01  9.75563E-01 -1.81455E-02
    7261.440    138.652   6.150  9.57002E-01  9.74625E-01 -1.77261E-02
    7263.792    141.005   6.200  9.60399E-01  9.73686E-01 -1.33823E-02
    7266.164    143.377   6.250  9.69919E-01  9.72748E-01 -2.85233E-03
