 name:     iron                                                   Feff 8.20
 formula:  Fe
 sites:    Fe1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, bcc
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=26 Rmt= 1.347 Rnm= 1.395 K  shell
 Pot 1 Z=26 Rmt= 1.358 Rnm= 1.408
 Gam_ch=1.309E+00 H-L exch Vi= 2.000E+00 Vr= 0.000E+00
 Mu=-5.451E+00 kf=2.045E+00 Vint=-2.138E+01 Rs_int= 1.773
 PATH  Rmax= 5.468,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    9      icalc       2
 -----------------------------------------------------------------------
   2   8.000   4.9710    2.6602   -5.45080 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  26 Fe       absorbing atom
    -2.8700   -2.8700   -2.8700  1  26 Fe    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.0684E+00  0.0000E+00 -1.4911E+00  1.033E+00  5.8907E+00  2.0521E+00
  0.100  3.0679E+00  4.4593E-02 -2.4626E+00  1.033E+00  5.8974E+00  2.0544E+00
  0.200  3.0665E+00  8.8370E-02 -3.3887E+00  1.034E+00  5.9171E+00  2.0613E+00
  0.300  3.0642E+00  1.3056E-01 -4.2702E+00  1.034E+00  5.9493E+00  2.0729E+00
  0.400  3.0609E+00  1.7047E-01 -5.1079E+00  1.035E+00  5.9931E+00  2.0889E+00
  0.500  3.0567E+00  2.0755E-01 -5.9028E+00  1.035E+00  6.0471E+00  2.1093E+00
  0.600  3.0513E+00  2.4137E-01 -6.6563E+00  1.036E+00  6.1096E+00  2.1341E+00
  0.700  3.0448E+00  2.7164E-01 -7.3697E+00  1.038E+00  6.1788E+00  2.1630E+00
  0.800  3.0370E+00  2.9822E-01 -8.0445E+00  1.039E+00  6.2524E+00  2.1960E+00
  0.900  3.0279E+00  3.2105E-01 -8.6819E+00  1.041E+00  6.3281E+00  2.2330E+00
  1.000  3.0173E+00  3.4018E-01 -9.2832E+00  1.043E+00  6.4036E+00  2.2737E+00
  1.100  3.0050E+00  3.5570E-01 -9.8493E+00  1.045E+00  6.4765E+00  2.3181E+00
  1.200  2.9909E+00  3.6774E-01 -1.0381E+01  1.048E+00  6.5445E+00  2.3660E+00
  1.300  2.9748E+00  3.7640E-01 -1.0880E+01  1.051E+00  6.6057E+00  2.4174E+00
  1.400  2.9564E+00  3.8180E-01 -1.1345E+01  1.055E+00  6.6587E+00  2.4721E+00
  1.500  2.9355E+00  3.8404E-01 -1.1776E+01  1.059E+00  6.7022E+00  2.5301E+00
  1.600  2.9118E+00  3.8318E-01 -1.2175E+01  1.063E+00  6.7361E+00  2.5914E+00
  1.700  2.8850E+00  3.7927E-01 -1.2539E+01  1.068E+00  6.7607E+00  2.6560E+00
