     3.8500   -5.033646E-02  6.430416E-02  1.032391E+01
     3.9000   -5.944343E-02  6.511044E-02  1.057527E+01
     3.9500   -6.421485E-02  6.509213E-02  1.083121E+01
     4.0000   -6.389571E-02  6.419026E-02  1.109141E+01
     4.0500   -5.809416E-02  6.215390E-02  1.135901E+01
     4.1000   -4.760586E-02  5.916499E-02  1.163132E+01
     4.1500   -3.373572E-02  5.520850E-02  1.190897E+01
     4.2000   -1.832900E-02  5.028482E-02  1.219327E+01
     4.2500   -3.291883E-03  4.425349E-02  1.249191E+01
     4.3000    8.870480E-03  3.734391E-02  1.280620E+01
     4.3500    1.632403E-02  2.965976E-02  1.314919E+01
     4.4000    1.792228E-02  2.143451E-02  1.355658E+01
     4.4500    1.335640E-02  1.336262E-02  1.416766E+01
     4.5000    3.387811E-03  9.550799E-03  1.534535E+01
     4.5500   -1.012861E-02  1.546669E-02  1.642197E+01
     4.6000   -2.455394E-02  2.564791E-02  1.698564E+01
     4.6500   -3.688743E-02  3.712630E-02  1.739226E+01
     4.7000   -4.389125E-02  4.908767E-02  1.774305E+01
     4.7500   -4.307248E-02  6.123650E-02  1.806942E+01
     4.8000   -3.299407E-02  7.337144E-02  1.838314E+01
     4.8500   -1.333270E-02  8.536173E-02  1.869272E+01
     4.9000    1.430775E-02  9.695988E-02  1.899766E+01
     4.9500    4.697030E-02  1.080057E-01  1.929947E+01
     5.0000    8.062246E-02  1.183452E-01  1.959902E+01
     5.0500    1.107955E-01  1.277151E-01  1.989975E+01
     5.1000    1.327211E-01  1.360396E-01  2.019902E+01
     5.1500    1.427705E-01  1.431908E-01  2.049699E+01
     5.2000    1.387843E-01  1.490538E-01  2.079373E+01
     5.2500    1.200314E-01  1.533252E-01  2.109191E+01
     5.3000    8.845409E-02  1.560883E-01  2.138866E+01
     5.3500    4.758237E-02  1.572837E-01  2.168381E+01
     5.4000    2.208829E-03  1.568733E-01  2.197707E+01
     5.4500   -4.254227E-02  1.546063E-01  2.226991E+01
     5.5000   -8.117270E-02  1.507218E-01  2.255988E+01
     5.5500   -1.096197E-01  1.452652E-01  2.284622E+01
     5.6000   -1.254870E-01  1.383116E-01  2.312791E+01
     5.6500   -1.281546E-01  1.297532E-01  2.340481E+01
     5.7000   -1.192459E-01  1.199893E-01  2.367332E+01
     5.7500   -1.019049E-01  1.092318E-01  2.393029E+01
     5.8000   -8.018731E-02  9.776438E-02  2.417096E+01
     5.8500   -5.821221E-02  8.593746E-02  2.438855E+01
     5.9000   -3.961361E-02  7.441869E-02  2.457142E+01
     5.9500   -2.660090E-02  6.407600E-02  2.470464E+01
     6.0000   -1.972247E-02  5.618347E-02  2.477406E+01
     6.0500   -1.774378E-02  5.238660E-02  2.478720E+01
     6.1000   -1.814549E-02  5.356812E-02  2.478717E+01
     6.1500   -1.772612E-02  5.924543E-02  2.482889E+01
     6.2000   -1.338235E-02  6.794807E-02  2.493450E+01
     6.2500   -2.852330E-03  7.821349E-02  2.509626E+01
     6.3000    1.471271E-02  8.898373E-02  2.529885E+01
     6.3500    3.846396E-02  9.955313E-02  2.552943E+01
     6.4000    6.591699E-02  1.094426E-01  2.577912E+01
     6.4500    9.335198E-02  1.183120E-01  2.604197E+01
     6.5000    1.164779E-01  1.259100E-01  2.631401E+01
     6.5500    1.307711E-01  1.315276E-01  2.659623E+01
     6.6000    1.333288E-01  1.354865E-01  2.688225E+01
     6.6500    1.229617E-01  1.377099E-01  2.717058E+01
     6.7000    1.004769E-01  1.381571E-01  2.746001E+01
     6.7500    6.857001E-02  1.368223E-01  2.774939E+01
     6.8000    3.136410E-02  1.337332E-01  2.803760E+01
     6.8500   -6.317612E-03  1.289520E-01  2.832335E+01
     6.9000   -3.980383E-02  1.225770E-01  2.860505E+01
     6.9500   -6.538825E-02  1.147465E-01  2.888066E+01
     7.0000   -8.094651E-02  1.056463E-01  2.914724E+01
     7.0500   -8.609528E-02  9.538003E-02  2.940023E+01
     7.1000   -8.262783E-02  8.453107E-02  2.963253E+01
     7.1500   -7.360982E-02  7.361441E-02  2.983396E+01
     7.2000   -6.273746E-02  6.339993E-02  2.998982E+01
     7.2500   -5.350156E-02  5.505411E-02  3.008318E+01
     7.3000   -4.841461E-02  5.015487E-02  3.010933E+01
     7.3500   -4.845967E-02  5.010400E-02  3.010203E+01
     7.4000   -5.287488E-02  5.500886E-02  3.012458E+01
